Persona_ID,Persona_Name,Country_Context,Care_Setting,Clinical_or_Operational_Domain,Role_Description,Typical_Integration_Use_Cases,Primary_Systems,FHIR_Resource_Touchpoints,HL7v2_Message_Touchpoints,Data_Access_Level,BulletTrain_Technical_Role,BulletTrain_Scopes,SMART_on_FHIR_Equivalent_Scopes,Data_Sensitivity_Allowed,Purpose_of_Use_Default,Regulatory_Constraints,Authentication_Requirements,RBAC_Level,Audit_Expectation,Segregation_of_Duties_Notes,UK_NHS_NRBAC_Notes,USA_HIPAA_Minimum_Necessary_Notes,Kenya_Context_Notes,Config_Notes
P001,Consultant Physician,UK,Acute Trust / Hospital,Clinical,Senior doctor responsible for diagnosis and treatment plans.,Review history; create/update care plan; order labs/imaging; document encounter; check consent/purpose of use.,"EPR/EHR, LIS, RIS, Integration Engine","Patient, Encounter, Observation, DiagnosticReport, MedicationRequest, Consent, AuditEvent","ORM, ORU, ADT",Read/Write/Update,clinician_service,patient.read encounter.read observation.read diagnosticreport.read medicationrequest.read consent.read audit.read observation.write encounter.write medicationrequest.write,user/Patient.read user/Encounter.read user/Observation.read user/DiagnosticReport.read user/MedicationRequest.read user/Consent.read user/Encounter.write user/Observation.write user/MedicationRequest.write,High,Treatment,UK GDPR; NHS policies,NHS Smartcard + MFA,High,Full audit for clinical actions,No admin role; separate from audit-only staff,Map intent to NRBAC clinical practitioner patterns,N/A,N/A,Prefer least-privilege scopes per specialty
P002,GP (General Practitioner),UK,Primary Care,Clinical,Primary care clinician providing ongoing care and referrals.,View/record consultations; prescribe; refer to secondary care; reconcile meds; communicate via integration engine.,"GP EHR, eReferrals, Integration Engine","Patient, Encounter, Observation, MedicationRequest, ReferralRequest, Consent, AuditEvent","ADT, ORM, ORU, SIU",Read/Write/Update,clinician_service,patient.read encounter.read observation.read medicationrequest.read consent.read audit.read encounter.write observation.write medicationrequest.write,user/Patient.read user/Encounter.read user/Observation.read user/MedicationRequest.read user/Consent.read user/Encounter.write user/Observation.write user/MedicationRequest.write,High,Treatment,UK GDPR; NHS policies,NHS Smartcard + MFA,High,Audit prescriptions and referrals,Separate from system admin,Primary care NRBAC mapping; activities for demographics/consultation,N/A,N/A,Include referral scopes if supported
P003,Ward Nurse,UK,Hospital Ward,Clinical,Registered nurse providing bedside care and observations.,Record vitals; administer meds; document nursing notes; handover via integration.,"EPR/EHR, Ward system","Patient, Observation, MedicationAdministration, Encounter, Consent, AuditEvent","ORU, ADT",Read/Write,clinician_service,patient.read observation.read encounter.read consent.read audit.read observation.write encounter.write,user/Patient.read user/Observation.read user/Encounter.read user/Consent.read user/Observation.write user/Encounter.write,Medium,Treatment,UK GDPR; NHS policies,NHS Smartcard + MFA,Medium,Audit meds admin and observations,No prescription write,Nursing roles in NRBAC are distinct from prescribers,N/A,N/A,Limit write to Observation/Encounter
P004,Triage Nurse,UK,Emergency Department,Clinical,Performs initial assessment and triage categorisation.,Capture presenting complaint; record vitals; start triage encounter; trigger lab orders through workflow.,"ED System, EPR/EHR, Integration Engine","Patient, Encounter, Observation, ServiceRequest, Consent, AuditEvent","ADT, ORM, ORU",Read/Write,clinician_service,patient.read encounter.read observation.read servicerequest.read consent.read audit.read encounter.write observation.write servicerequest.write,user/Patient.read user/Encounter.read user/Observation.read user/ServiceRequest.read user/Consent.read user/Encounter.write user/Observation.write user/ServiceRequest.write,Medium,Treatment,UK GDPR; NHS policies,NHS Smartcard + MFA,Medium,Audit triage changes,No discharge authority,ED triage activities mapped to NRBAC triage-related roles,N/A,N/A,Limit to ED encounter context
P005,Radiologist,UK,Hospital Imaging,Imaging,Interprets imaging studies and reports findings.,View imaging orders; update diagnostic report; share results to EHR.,"RIS/PACS, EHR","DiagnosticReport, ImagingStudy, ServiceRequest, Patient, AuditEvent","ORM, ORU",Read/Write,clinician_service,patient.read diagnosticreport.read imagingstudy.read servicerequest.read audit.read diagnosticreport.write,user/Patient.read user/DiagnosticReport.read user/ImagingStudy.read user/ServiceRequest.read user/DiagnosticReport.write,High,Treatment,UK GDPR; NHS policies,NHS Smartcard + MFA,High,Audit report finalisation,No demographic edits unless granted,Imaging roles in NRBAC; separate from admin,N/A,N/A,Scope to ImagingStudy/DiagnosticReport
P006,Biomedical Scientist (Lab),UK,Hospital Laboratory,Laboratory,Processes lab specimens and releases results.,Receive orders; update specimen status; release results; QC checks.,"LIS, EHR","ServiceRequest, Specimen, Observation, DiagnosticReport, Patient, AuditEvent","ORM, ORU",Read/Write,clinician_service,patient.read servicerequest.read specimen.read observation.read diagnosticreport.read audit.read specimen.write observation.write diagnosticreport.write,user/Patient.read user/ServiceRequest.read user/Specimen.read user/Observation.read user/DiagnosticReport.read user/Specimen.write user/Observation.write user/DiagnosticReport.write,High,Treatment,UK GDPR; NHS policies,NHS Smartcard + MFA,High,Audit result release,No prescribing,Lab roles distinct from clinicians; activity codes for results,N/A,N/A,Limit write to lab resources
P007,Pharmacist,UK,Hospital/Community Pharmacy,Pharmacy,Dispenses medication and performs clinical checks.,View prescriptions; dispense; reconciliation; check interactions.,"Pharmacy System, EHR","MedicationRequest, MedicationDispense, MedicationStatement, Patient, AuditEvent","RDE, ORU",Read/Write,clinician_service,patient.read medicationrequest.read medicationdispense.read audit.read medicationdispense.write,user/Patient.read user/MedicationRequest.read user/MedicationDispense.read user/MedicationDispense.write,High,Treatment,UK GDPR; NHS policies,NHS Smartcard + MFA,High,Audit dispense events,Separate from prescribing rights,Pharmacy roles have specific NRBAC patterns,N/A,N/A,Avoid MedicationRequest.write unless prescriber
P008,Physiotherapist,UK,Outpatient / Rehab,Allied Health,Provides rehabilitation assessment and treatment.,Record assessments; update care plan notes; refer for imaging as needed.,"EHR, Rehab system","Patient, Encounter, Observation, CarePlan, AuditEvent",ORU,Read/Write,clinician_service,patient.read encounter.read observation.read careplan.read audit.read encounter.write observation.write careplan.write,user/Patient.read user/Encounter.read user/Observation.read user/CarePlan.read user/Encounter.write user/Observation.write user/CarePlan.write,Medium,Treatment,UK GDPR; NHS policies,NHS Smartcard + MFA,Medium,Audit care plan changes,No meds write,Allied health roles map to specific NRBAC job roles,N/A,N/A,Limit to CarePlan/Observation
P009,Midwife,UK,Maternity,Clinical,"Provides antenatal, intrapartum, and postnatal care.",Record maternity observations; manage encounters; coordinate referrals.,"Maternity system, EHR","Patient, Encounter, Observation, CarePlan, Consent, AuditEvent","ADT, ORU",Read/Write,clinician_service,patient.read encounter.read observation.read careplan.read consent.read audit.read encounter.write observation.write careplan.write,user/Patient.read user/Encounter.read user/Observation.read user/CarePlan.read user/Consent.read user/Encounter.write user/Observation.write user/CarePlan.write,High,Treatment,UK GDPR; NHS policies,NHS Smartcard + MFA,High,Audit maternity record updates,Separate from admin,Maternity NRBAC mappings exist; add local codes,N/A,N/A,Use high sensitivity due to maternity data
P010,Health Records Officer,UK,Hospital Administration,Records,"Manages medical records, filing, release, and indexing.",Index documents; release records under policy; manage record corrections.,"Records system, EHR, Document repository","Patient, DocumentReference, AuditEvent, Consent","MDM, ADT",Read/Write (Records),patient_service,patient.read documentreference.read consent.read audit.read documentreference.write,user/Patient.read user/DocumentReference.read user/Consent.read user/DocumentReference.write,Medium,Healthcare Operations,UK GDPR; NHS policies,NHS Smartcard + MFA,Restricted,Audit disclosures/releases,Must not edit clinical content,Align with NRBAC records/admin roles,N/A,N/A,Enforce disclosure workflows
